Cluster	ClusterEnrichmentScore	Category	Terms	Count	X.	PValue	List.Total	Pop.Hits	Pop.Total	Fold.Enrichment	Bonferroni	Benjamini	FDR	GenesIDs	Genes
1	1.25099989714652	KEGG_PATHWAY	KEGG:hsa05030:Cocaine addiction	5	45.45454545454545	1.1103455343035858E-8	6	49	6910	117.5170068027211	2.7758634746355426E-7	2.7758634746355426E-7	9.008480306160749E-6	5173,1644,627,1813,6571	PDYN,DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	KEGG_PATHWAY	KEGG:hsa05034:Alcoholism	5	45.45454545454545	2.0404047141643595E-6	6	177	6910	32.53295668549906	5.1008868898860804E-5	2.550475969576027E-5	0.0016554137793667323	5173,1644,627,1813,6571	PDYN,DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	KEGG_PATHWAY	KEGG:hsa04728:Dopaminergic synapse	4	36.36363636363637	6.043286688179172E-5	6	128	6910	35.989583333333336	0.0015097265400877413	5.034956453474626E-4	0.04901999384431255	1644,1813,6571,3760	DDC,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_CC_ALL	GO:0030424:axon	4	36.36363636363637	2.2759004684526246E-4	7	418	18224	24.913192071086804	0.02428283305720136	0.02428283305720136	0.255967474227059	5173,1644,1813,6571	PDYN,DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0015837:amine transport	3	27.27272727272727	3.3491085043844135E-4	8	68	16792	92.60294117647058	0.25903020449172276	0.25903020449172276	0.5203939162278792	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0043679:axon terminus	3	27.27272727272727	5.624190717626916E-4	7	113	18224	69.11757269279393	0.058949380161623655	0.029922364014932867	0.631460063171907	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0044306:neuron projection terminus	3	27.27272727272727	6.875915230621911E-4	7	125	18224	62.482285714285716	0.0715933357828793	0.024457750074824536	0.7715030898444608	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0008021:synaptic vesicle	3	27.27272727272727	7.096522791415169E-4	7	127	18224	61.49831271091114	0.07380423163866134	0.01898488662117792	0.7961660303342666	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0070382:exocytic vesicle	3	27.27272727272727	8.736268293805422E-4	7	141	18224	55.39209726443769	0.0900748500713554	0.018701502728581954	0.9793072799273328	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	KEGG_PATHWAY	KEGG:hsa05031:Amphetamine addiction	3	27.27272727272727	8.820584567355362E-4	6	66	6910	52.34848484848485	0.02181962406339011	0.005500116786023912	0.7133926612359787	5173,1644,6571	PDYN,DDC,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0007267:cell-cell signaling	5	45.45454545454545	0.0018572319123084005	8	1517	16792	6.918259723137773	0.8105761233976386	0.5647714662359999	2.854039789429863	5173,627,1813,6571,3760	PDYN,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_CC_ALL	GO:0033267:axon part	3	27.27272727272727	0.0020700512774122705	7	218	18224	35.826998689384006	0.20052279113932303	0.036612483196978296	2.3062834253902764	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	KEGG_PATHWAY	KEGG:hsa04726:Serotonergic synapse	3	27.27272727272727	0.002477772669353083	6	111	6910	31.126126126126124	0.060137025078133566	0.012327621703710268	1.9926458483004117	1644,6571,3760	DDC,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_CC_ALL	GO:0043005:neuron projection	4	36.36363636363637	0.002631493979321809	7	966	18224	10.780242531795327	0.24766678200738523	0.039838429719698865	2.9233861254340465	5173,1644,1813,6571	PDYN,DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0006836:neurotransmitter transport	3	27.27272727272727	0.0027664047008095958	8	197	16792	31.96446700507614	0.9162034340713663	0.5624019207800985	4.223219651757992	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0009636:response to toxic substance	3	27.27272727272727	0.0029060830930341423	8	202	16792	31.173267326732674	0.9260769791808368	0.4785713061112994	4.431962697648983	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0098793:presynapse	3	27.27272727272727	0.003435021578210984	7	282	18224	27.696048632218844	0.3103844147661987	0.04539021102896135	3.8003952405634034	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0016023:cytoplasmic, membrane-bounded vesicle	4	36.36363636363637	0.0047030204384944495	7	1183	18224	8.802801594010386	0.39897837243064926	0.05499907555083694	5.169674958601201	1644,627,1813,6571	DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0030133:transport vesicle	3	27.27272727272727	0.0051259278718293975	7	346	18224	22.57308009909166	0.42594147899474843	0.053990240596095695	5.6223973066422905	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0031410:cytoplasmic vesicle	4	36.36363636363637	0.005936653974155683	7	1284	18224	8.110369381397419	0.47432354689696576	0.05678483462157391	6.484777397095609	1644,627,1813,6571	DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0097708:intracellular vesicle	4	36.36363636363637	0.0059629175857740645	7	1286	18224	8.097756054210175	0.4758213989973322	0.05240387968410387	6.512593888472562	1644,627,1813,6571	DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0097458:neuron part	4	36.36363636363637	0.0066011510142782994	7	1333	18224	7.8122387739792085	0.5109486461231476	0.0535358038555126	7.1862505264002845	5173,1644,1813,6571	PDYN,DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0043025:neuronal cell body	3	27.27272727272727	0.007440250403780293	7	419	18224	18.640300034094782	0.5536050808697983	0.055982715885745105	8.065191144055483	5173,1644,1813	PDYN,DDC,DRD2
1	1.25099989714652	GOTERM_CC_ALL	GO:0099503:secretory vesicle	3	27.27272727272727	0.009179490524813889	7	467	18224	16.724380544509025	0.6306325090181741	0.06424121869661947	9.86290679107682	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0044297:cell body	3	27.27272727272727	0.009679599722364554	7	480	18224	16.27142857142857	0.6502333878647828	0.0635466515118438	10.373867705048712	5173,1644,1813	PDYN,DDC,DRD2
1	1.25099989714652	GOTERM_CC_ALL	GO:0044456:synapse part	3	27.27272727272727	0.01519744647904706	7	607	18224	12.867027535890797	0.808702220040641	0.0927068271353444	15.838864117378126	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0042995:cell projection	4	36.36363636363637	0.016404243386065456	7	1846	18224	5.64123200742919	0.8324294028569501	0.09447618056837237	16.992866536944806	5173,1644,1813,6571	PDYN,DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0036477:somatodendritic compartment	3	27.27272727272727	0.017931756541546495	7	662	18224	11.798014674147606	0.8583227503387463	0.0977402473038167	18.432875177910056	5173,1644,1813	PDYN,DDC,DRD2
1	1.25099989714652	GOTERM_CC_ALL	GO:0045202:synapse	3	27.27272727272727	0.023007850469709986	7	755	18224	10.344749290444653	0.9190464320052303	0.11811531677426723	23.056230000684764	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0007268:chemical synaptic transmission	3	27.27272727272727	0.024053684870602395	8	604	16792	10.425496688741722	0.999999999656279	0.9871990786980511	31.56225574869881	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0099537:trans-synaptic signaling	3	27.27272727272727	0.024053684870602395	8	604	16792	10.425496688741722	0.999999999656279	0.9871990786980511	31.56225574869881	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0099536:synaptic signaling	3	27.27272727272727	0.024053684870602395	8	604	16792	10.425496688741722	0.999999999656279	0.9871990786980511	31.56225574869881	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0098916:anterograde trans-synaptic signaling	3	27.27272727272727	0.024053684870602395	8	604	16792	10.425496688741722	0.999999999656279	0.9871990786980511	31.56225574869881	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0071705:nitrogen compound transport	3	27.27272727272727	0.03383282013358858	8	725	16792	8.68551724137931	0.9999999999999581	0.994107514350371	41.49800460644927	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0044463:cell projection part	3	27.27272727272727	0.03553146238973879	7	952	18224	8.204081632653061	0.9799039358987379	0.16977508525781704	33.4598828970399	5173,1813,6571	PDYN,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0010243:response to organonitrogen compound	3	27.27272727272727	0.03956098242972453	8	789	16792	7.980988593155894	0.9999999999999998	0.9942636181350312	46.6732335584185	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:1901698:response to nitrogen compound	3	27.27272727272727	0.04983553713414484	8	895	16792	7.035754189944134	1.0	0.9967172418791319	54.89876480600695	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0050896:response to stimulus	7	63.63636363636363	0.05988477671186166	8	8329	16792	1.7640773202065074	1.0	0.997847178984828	61.78252013750556	5173,118987,1644,627,1813,6571,3760	PDYN,PDZD8,DDC,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0044700:single organism signaling	6	54.54545454545454	0.06973977594139026	8	6207	16792	2.0289995166747223	1.0	0.9984508322747598	67.5678837991502	5173,118987,627,1813,6571,3760	PDYN,PDZD8,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0023052:signaling	6	54.54545454545454	0.07222741972364172	8	6260	16792	2.011821086261981	1.0	0.9977565069072922	68.89276707920803	5173,118987,627,1813,6571,3760	PDYN,PDZD8,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0007154:cell communication	6	54.54545454545454	0.07294232816248089	8	6275	16792	2.007011952191235	1.0	0.9964786277418655	69.26404205858621	5173,118987,627,1813,6571,3760	PDYN,PDZD8,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0051641:cellular localization	4	36.36363636363637	0.075364294165735	8	2541	16792	3.3042109405745768	1.0	0.9954583795567293	70.49125724951419	1644,627,1813,6571	DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_CC_ALL	GO:0005887:integral component of plasma membrane	3	27.27272727272727	0.09460167450243827	7	1635	18224	4.7769331585845345	0.9999781884670117	0.386065414685398	67.34010844192225	1813,6571,3760	DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_CC_ALL	GO:0031988:membrane-bounded vesicle	4	36.36363636363637	0.09658053946371159	7	3611	18224	2.8838865371681766	0.999982778948048	0.37931369961343553	68.13492308392527	1644,627,1813,6571	DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0055085:transmembrane transport	3	27.27272727272727	0.09975591203727889	8	1322	16792	4.763237518910741	1.0	0.9987913020915204	80.54171490400329	1813,6571,3760	DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_CC_ALL	GO:0031226:intrinsic component of plasma membrane	3	27.27272727272727	0.10137526133848095	7	1701	18224	4.5915847820609725	0.99999030687096	0.3818374846317636	69.98818208847759	1813,6571,3760	DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_CC_ALL	GO:0031982:vesicle	4	36.36363636363637	0.10634633260210292	7	3754	18224	2.774031509247279	0.9999946755085611	0.3847507041557142	71.80542775673682	1644,627,1813,6571	DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0032501:multicellular organismal process	6	54.54545454545454	0.1151976067671328	8	7027	16792	1.7922299701152697	1.0	0.9993262555155924	85.13842517150646	5173,1644,627,1813,6571,3760	PDYN,DDC,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_MF_ALL	GO:0005102:receptor binding	3	27.27272727272727	0.11752091183938722	8	1462	16881	4.329941860465116	0.9999986320265568	0.9999986320265568	75.53013185016233	5173,627,1813	PDYN,BDNF,DRD2
1	1.25099989714652	GOTERM_CC_ALL	GO:0016020:membrane	6	54.54545454545454	0.12839428604725125	7	9462	18224	1.6508741733852703	0.9999996414353952	0.43493455923343805	78.718424099607	5173,118987,627,1813,6571,3760	PDYN,PDZD8,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0009719:response to endogenous stimulus	3	27.27272727272727	0.13063905695431974	8	1548	16792	4.067829457364341	1.0	0.9996028020476251	88.70291683995468	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0044765:single-organism transport	4	36.36363636363637	0.15383849594241697	8	3415	16792	2.4585651537335287	1.0	0.9998484249619676	92.58699417308048	1644,1813,6571,3760	DDC,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0048856:anatomical structure development	5	45.45454545454545	0.1620658118449067	8	5473	16792	1.9175954686643524	1.0	0.9998480061234205	93.63352791299704	118987,1644,627,1813,6571	PDZD8,DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0006928:movement of cell or subcellular component	3	27.27272727272727	0.16702050979269226	8	1795	16792	3.5080779944289695	1.0	0.9998174178972539	94.19528856356403	627,1813,3760	BDNF,DRD2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0065008:regulation of biological quality	4	36.36363636363637	0.16795186914099364	8	3548	16792	2.3664036076662907	1.0	0.9997329189301941	94.29556313494918	627,1813,6571,3760	BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:1902578:single-organism localization	4	36.36363636363637	0.1751429853233566	8	3614	16792	2.3231876037631434	1.0	0.9997270150894134	95.01696648885557	1644,1813,6571,3760	DDC,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0032502:developmental process	5	45.45454545454545	0.17643760436167813	8	5632	16792	1.8634588068181819	1.0	0.9996281389626845	95.13740321902637	118987,1644,627,1813,6571	PDZD8,DDC,BDNF,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0051179:localization	5	45.45454545454545	0.19929134909241797	8	5872	16792	1.7872956403269755	1.0	0.9998246523998571	96.86313665079675	1644,627,1813,6571,3760	DDC,BDNF,DRD2,SLC18A2,KCNJ3
1	1.25099989714652	GOTERM_BP_ALL	GO:0051649:establishment of localization in cell	3	27.27272727272727	0.19945536315260995	8	2004	16792	3.1422155688622753	1.0	0.9997504909953964	96.87313012894467	1644,1813,6571	DDC,DRD2,SLC18A2
1	1.25099989714652	GOTERM_BP_ALL	GO:0003008:system process	3	27.27272727272727	0.20103804100135747	8	2014	16792	3.1266137040714996	1.0	0.9996760824776082	96.96804469309161	5173,1813,3760	PDYN,DRD2,KCNJ3
