Uploaded_variation	Location	Allele	Gene	Feature	Feature_type	Consequence	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	IMPACT	DISTANCE	STRAND	FLAGS	SYMBOL	SYMBOL_SOURCE	HGNC_ID	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	NearestGene	Condel	cytoband	KEGG	Gene_Description	Gene	GO
rs10165150	2:155705880	A	ENSG00000162989	ENST00000544049	Transcript	intron_variant	-	-	-	-	-	-	MODIFIER	-	1	-	KCNJ3	HGNC	6264	-	-	-	-	-	-	2q24.1	KEGG:hsa04728:Dopaminergic synapse; KEGG:hsa04726:Serotonergic synapse 	potassium voltage-gated channel subfamily J member 3	ENSG00000162989	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Cell-cell signaling; Monovalent inorganic cation transport; Ion transport; Cation transport; Inorganic cation transmembrane transport; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Potassium ion transport; Single-organism transport; Single-organism localization; Monovalent inorganic cation transmembrane transporter activity; Inorganic cation transmembrane transporter activity; G-protein activated inward rectifier potassium channel activity; Cation transmembrane transporter activity; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Integral component of plasma membrane; Intrinsic component of plasma membrane; 
rs10165150	2:155705880	A	ENSG00000162989	ENST00000295101	Transcript	intron_variant	-	-	-	-	-	-	MODIFIER	-	1	-	KCNJ3	HGNC	6264	-	-	-	-	-	-	2q24.1	KEGG:hsa04728:Dopaminergic synapse; KEGG:hsa04726:Serotonergic synapse 	potassium voltage-gated channel subfamily J member 3	ENSG00000162989	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Cell-cell signaling; Monovalent inorganic cation transport; Ion transport; Cation transport; Inorganic cation transmembrane transport; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Potassium ion transport; Single-organism transport; Single-organism localization; Monovalent inorganic cation transmembrane transporter activity; Inorganic cation transmembrane transporter activity; G-protein activated inward rectifier potassium channel activity; Cation transmembrane transporter activity; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Integral component of plasma membrane; Intrinsic component of plasma membrane; 
rs10165150	2:155705880	A	ENSG00000162989	ENST00000493505	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	MODIFIER	-	1	-	KCNJ3	HGNC	6264	-	-	-	-	-	-	2q24.1	KEGG:hsa04728:Dopaminergic synapse; KEGG:hsa04726:Serotonergic synapse 	potassium voltage-gated channel subfamily J member 3	ENSG00000162989	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Cell-cell signaling; Monovalent inorganic cation transport; Ion transport; Cation transport; Inorganic cation transmembrane transport; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Potassium ion transport; Single-organism transport; Single-organism localization; Monovalent inorganic cation transmembrane transporter activity; Inorganic cation transmembrane transporter activity; G-protein activated inward rectifier potassium channel activity; Cation transmembrane transporter activity; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Integral component of plasma membrane; Intrinsic component of plasma membrane; 
rs10166297	2:155583491	T	ENSG00000162989	ENST00000295101	Transcript	intron_variant	-	-	-	-	-	-	MODIFIER	-	1	-	KCNJ3	HGNC	6264	-	-	-	-	-	-	2q24.1	KEGG:hsa04728:Dopaminergic synapse; KEGG:hsa04726:Serotonergic synapse 	potassium voltage-gated channel subfamily J member 3	ENSG00000162989	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Cell-cell signaling; Monovalent inorganic cation transport; Ion transport; Cation transport; Inorganic cation transmembrane transport; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Potassium ion transport; Single-organism transport; Single-organism localization; Monovalent inorganic cation transmembrane transporter activity; Inorganic cation transmembrane transporter activity; G-protein activated inward rectifier potassium channel activity; Cation transmembrane transporter activity; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Integral component of plasma membrane; Intrinsic component of plasma membrane; 
rs10166297	2:155583491	T	ENSG00000162989	ENST00000544049	Transcript	intron_variant	-	-	-	-	-	-	MODIFIER	-	1	-	KCNJ3	HGNC	6264	-	-	-	-	-	-	2q24.1	KEGG:hsa04728:Dopaminergic synapse; KEGG:hsa04726:Serotonergic synapse 	potassium voltage-gated channel subfamily J member 3	ENSG00000162989	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Cell-cell signaling; Monovalent inorganic cation transport; Ion transport; Cation transport; Inorganic cation transmembrane transport; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Potassium ion transport; Single-organism transport; Single-organism localization; Monovalent inorganic cation transmembrane transporter activity; Inorganic cation transmembrane transporter activity; G-protein activated inward rectifier potassium channel activity; Cation transmembrane transporter activity; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Integral component of plasma membrane; Intrinsic component of plasma membrane; 
rs10166297	2:155583491	T	ENSG00000162989	ENST00000493505	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	MODIFIER	-	1	-	KCNJ3	HGNC	6264	-	-	-	-	-	-	2q24.1	KEGG:hsa04728:Dopaminergic synapse; KEGG:hsa04726:Serotonergic synapse 	potassium voltage-gated channel subfamily J member 3	ENSG00000162989	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Cell-cell signaling; Monovalent inorganic cation transport; Ion transport; Cation transport; Inorganic cation transmembrane transport; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Potassium ion transport; Single-organism transport; Single-organism localization; Monovalent inorganic cation transmembrane transporter activity; Inorganic cation transmembrane transporter activity; G-protein activated inward rectifier potassium channel activity; Cation transmembrane transporter activity; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Integral component of plasma membrane; Intrinsic component of plasma membrane; 
rs2975226	5:1445616	T	ENSG00000142319	ENST00000270349	Transcript	upstream_gene_variant	-	-	-	-	-	-	MODIFIER	71	-1	-	SLC6A3	HGNC	11049	-	-	-	-	-	-	5p15.33	 	solute carrier family 6 member 3	ENSG00000142319	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Dopamine metabolic process; Dopamine transport; Response to alkaloid; Neurotransmitter transport; Response to drug; Response to cocaine; Catecholamine metabolic process; Catechol-containing compound metabolic process; Catecholamine transport; Monoamine transport; Cell-cell signaling; Dopamine biosynthetic process; Response to ammonium ion; Phenol-containing compound metabolic process; Dopamine uptake involved in synaptic transmission; Catecholamine uptake involved in synaptic transmission; Catecholamine uptake; Dopamine uptake; Ammonium transport; Prepulse inhibition; Nitrogen compound transport; Adenohypophysis development; Neuron-neuron synaptic transmission; Catechol-containing compound biosynthetic process; Catecholamine biosynthetic process; Presynaptic process involved in synaptic transmission; Response to transition metal nanoparticle; Neurotransmitter reuptake; Positive regulation of developmental growth; Neurotransmitter uptake; Startle response; Regulation of neurotransmitter levels; Ammonium ion metabolic process; Locomotory behavior; Response to iron ion; Positive regulation of multicellular organism growth; Monovalent inorganic cation transport; Synaptic transmission, dopaminergic; Phenol-containing compound biosynthetic process; Pituitary gland development; Organic hydroxy compound transport; Positive regulation of growth; Import into cell; Aging; Behavior; Regulation of developmental growth; Response to nicotine; Ion transport; Response to metal ion; Regulation of multicellular organism growth; Response to alcohol; Diencephalon development; Response to organonitrogen compound; Neuromuscular process; Cation transport; Response to nitrogen compound; Secretion; Response to inorganic substance; Response to ethanol; Organic hydroxy compound metabolic process; Endocrine system development; Multicellular organism growth; Developmental growth; Dopamine catabolic process; Catechol-containing compound catabolic process; Catecholamine catabolic process; Inorganic cation transmembrane transport; Phenol-containing compound catabolic process; Regulation of growth; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Organic hydroxy compound biosynthetic process; Organic substance transport; Cellular amine metabolic process; Establishment of localization in cell; Single-organism transport; Amine metabolic process; Single-organism localization; Regulation of dopamine metabolic process; Response to endogenous stimulus; Regulation of catecholamine metabolic process; Monoamine transmembrane transporter activity; Dopamine binding; Drug binding; Catecholamine binding; Ammonium transmembrane transporter activity; Organic hydroxy compound transmembrane transporter activity; Ammonium ion binding; Monovalent inorganic cation transmembrane transporter activity; Dopamine:sodium symporter activity; Inorganic cation transmembrane transporter activity; Dopamine transmembrane transporter activity; Cation transmembrane transporter activity; Receptor binding; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Neurotransmitter:sodium symporter activity; Neuronal cell body; Cell body; Synapse part; Presynapse; Somatodendritic compartment; Synapse; Axon; Neuron part; Neuron projection; Integral component of plasma membrane; Cell projection; Intrinsic component of plasma membrane; Flotillin complex; 
rs2975226	5:1445616	T	ENSG00000142319	ENST00000513308	Transcript	upstream_gene_variant	-	-	-	-	-	-	MODIFIER	2526	-1	cds_start_NF	SLC6A3	HGNC	11049	-	-	-	-	-	-	5p15.33	 	solute carrier family 6 member 3	ENSG00000142319	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Dopamine metabolic process; Dopamine transport; Response to alkaloid; Neurotransmitter transport; Response to drug; Response to cocaine; Catecholamine metabolic process; Catechol-containing compound metabolic process; Catecholamine transport; Monoamine transport; Cell-cell signaling; Dopamine biosynthetic process; Response to ammonium ion; Phenol-containing compound metabolic process; Dopamine uptake involved in synaptic transmission; Catecholamine uptake involved in synaptic transmission; Catecholamine uptake; Dopamine uptake; Ammonium transport; Prepulse inhibition; Nitrogen compound transport; Adenohypophysis development; Neuron-neuron synaptic transmission; Catechol-containing compound biosynthetic process; Catecholamine biosynthetic process; Presynaptic process involved in synaptic transmission; Response to transition metal nanoparticle; Neurotransmitter reuptake; Positive regulation of developmental growth; Neurotransmitter uptake; Startle response; Regulation of neurotransmitter levels; Ammonium ion metabolic process; Locomotory behavior; Response to iron ion; Positive regulation of multicellular organism growth; Monovalent inorganic cation transport; Synaptic transmission, dopaminergic; Phenol-containing compound biosynthetic process; Pituitary gland development; Organic hydroxy compound transport; Positive regulation of growth; Import into cell; Aging; Behavior; Regulation of developmental growth; Response to nicotine; Ion transport; Response to metal ion; Regulation of multicellular organism growth; Response to alcohol; Diencephalon development; Response to organonitrogen compound; Neuromuscular process; Cation transport; Response to nitrogen compound; Secretion; Response to inorganic substance; Response to ethanol; Organic hydroxy compound metabolic process; Endocrine system development; Multicellular organism growth; Developmental growth; Dopamine catabolic process; Catechol-containing compound catabolic process; Catecholamine catabolic process; Inorganic cation transmembrane transport; Phenol-containing compound catabolic process; Regulation of growth; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Organic hydroxy compound biosynthetic process; Organic substance transport; Cellular amine metabolic process; Establishment of localization in cell; Single-organism transport; Amine metabolic process; Single-organism localization; Regulation of dopamine metabolic process; Response to endogenous stimulus; Regulation of catecholamine metabolic process; Monoamine transmembrane transporter activity; Dopamine binding; Drug binding; Catecholamine binding; Ammonium transmembrane transporter activity; Organic hydroxy compound transmembrane transporter activity; Ammonium ion binding; Monovalent inorganic cation transmembrane transporter activity; Dopamine:sodium symporter activity; Inorganic cation transmembrane transporter activity; Dopamine transmembrane transporter activity; Cation transmembrane transporter activity; Receptor binding; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Neurotransmitter:sodium symporter activity; Neuronal cell body; Cell body; Synapse part; Presynapse; Somatodendritic compartment; Synapse; Axon; Neuron part; Neuron projection; Integral component of plasma membrane; Cell projection; Intrinsic component of plasma membrane; Flotillin complex; 
rs2975226	5:1445616	T	ENSG00000142319	ENST00000453492	Transcript	upstream_gene_variant	-	-	-	-	-	-	MODIFIER	2257	-1	-	SLC6A3	HGNC	11049	-	-	-	-	-	-	5p15.33	 	solute carrier family 6 member 3	ENSG00000142319	Synaptic transmission; Synaptic signaling; Trans-synaptic signaling; Dopamine metabolic process; Dopamine transport; Response to alkaloid; Neurotransmitter transport; Response to drug; Response to cocaine; Catecholamine metabolic process; Catechol-containing compound metabolic process; Catecholamine transport; Monoamine transport; Cell-cell signaling; Dopamine biosynthetic process; Response to ammonium ion; Phenol-containing compound metabolic process; Dopamine uptake involved in synaptic transmission; Catecholamine uptake involved in synaptic transmission; Catecholamine uptake; Dopamine uptake; Ammonium transport; Prepulse inhibition; Nitrogen compound transport; Adenohypophysis development; Neuron-neuron synaptic transmission; Catechol-containing compound biosynthetic process; Catecholamine biosynthetic process; Presynaptic process involved in synaptic transmission; Response to transition metal nanoparticle; Neurotransmitter reuptake; Positive regulation of developmental growth; Neurotransmitter uptake; Startle response; Regulation of neurotransmitter levels; Ammonium ion metabolic process; Locomotory behavior; Response to iron ion; Positive regulation of multicellular organism growth; Monovalent inorganic cation transport; Synaptic transmission, dopaminergic; Phenol-containing compound biosynthetic process; Pituitary gland development; Organic hydroxy compound transport; Positive regulation of growth; Import into cell; Aging; Behavior; Regulation of developmental growth; Response to nicotine; Ion transport; Response to metal ion; Regulation of multicellular organism growth; Response to alcohol; Diencephalon development; Response to organonitrogen compound; Neuromuscular process; Cation transport; Response to nitrogen compound; Secretion; Response to inorganic substance; Response to ethanol; Organic hydroxy compound metabolic process; Endocrine system development; Multicellular organism growth; Developmental growth; Dopamine catabolic process; Catechol-containing compound catabolic process; Catecholamine catabolic process; Inorganic cation transmembrane transport; Phenol-containing compound catabolic process; Regulation of growth; Transmembrane transport; Cation transmembrane transport; Inorganic ion transmembrane transport; Organic hydroxy compound biosynthetic process; Organic substance transport; Cellular amine metabolic process; Establishment of localization in cell; Single-organism transport; Amine metabolic process; Single-organism localization; Regulation of dopamine metabolic process; Response to endogenous stimulus; Regulation of catecholamine metabolic process; Monoamine transmembrane transporter activity; Dopamine binding; Drug binding; Catecholamine binding; Ammonium transmembrane transporter activity; Organic hydroxy compound transmembrane transporter activity; Ammonium ion binding; Monovalent inorganic cation transmembrane transporter activity; Dopamine:sodium symporter activity; Inorganic cation transmembrane transporter activity; Dopamine transmembrane transporter activity; Cation transmembrane transporter activity; Receptor binding; Ion transmembrane transporter activity; Substrate-specific transmembrane transporter activity; Neurotransmitter:sodium symporter activity; Neuronal cell body; Cell body; Synapse part; Presynapse; Somatodendritic compartment; Synapse; Axon; Neuron part; Neuron projection; Integral component of plasma membrane; Cell projection; Intrinsic component of plasma membrane; Flotillin complex; 
rs2975226	5:1445616	T	INTERGENIC	ENSR00001274395	RegulatoryFeature	regulatory_region_variant	-	-	-	-	-	-	MODIFIER	-	-	-	-	-	-	-	-	-	-	ENSG00000142319	-	5p15.33	 	this region is not a gene	INTERGENIC
